Name,Position,Years,Height,Weight,Games,Minutes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Draft_Status
QJ Peterson,Guard,3,72,185,31.6667,32.6316,19.4526,6.09474,2.4,1.55789,0.305263,2.47368,2.2,0
Andy Polka,Forward,5,79,240,25.2,28.6746,7.09524,7.3254,2.02381,0.626984,0.412698,1.66667,2.26984,0
Eric Wise,Forward,4,78,240,28,30.9464,14.4732,6.4375,2.07143,0.883929,0.339286,1.96429,2.71429,0
Brendan Westendorf,Guard,2,77,195,31,32.3387,13.5323,4.75806,3.98387,1.79032,0.112903,3.06452,2.04839,0
Michael Glover,Forward,2,79,215,23.3333,33.9571,18.3714,9.58571,0.942857,0.871429,1.02857,2.47143,2.84286,0
Gani Lawal,Forward,3,81,234,30.6667,24.337,11.7717,7.22826,0.445652,0.576087,1.32609,2.18478,2.42391,1
Chris Duncan,Forward,2,80,200,28.5,19.6316,6.31579,4.24561,0.701754,0.45614,1.7193,1.4386,2.08772,0
Neal Pitt,Forward,2,78,230,26.5,27.0755,11.8302,6.90566,0.622642,0.660377,0.339623,2.33962,2.92453,0
Corey Petros,Center,4,82,255,27,33.4593,12.1185,7.94815,1.28889,0.496296,0.362963,1.43704,2.52593,0
Brad Loesing,Guard,4,72,190,32.5,30.4385,8.18462,2.02308,3.66923,0.853846,0.0615385,2.29231,2.46923,0
Kenny Chery,Guard,2,71,180,33,29.9545,11.4242,2.84848,4.43939,1.12121,0.030303,2.30303,1.66667,0
Josh Terry,Guard,2,77,200,32.5,30.6,11.4769,4.13846,1.95385,1.86154,0.107692,2,2.52308,0
Sam McLaurin,Forward,5,80,220,27.4,23.2117,5.89781,5.56934,0.846715,0.452555,1.29197,1.05839,2.21898,0
Anton Grady,Forward,5,80,232,27,23.163,10.4741,6.41481,1.25185,0.955555,1.11111,1.75556,3.14074,0
Kennedy Meeks,Forward,4,82,277,36,21.1181,10.2917,7.30556,0.972222,0.6875,1.0625,1.29861,2.25,0
Michael Buchanan,Center,4,84,285,25.4,18.748,10.126,6.11024,0.858268,0.448819,0.771654,1.56693,2.33858,0
Chris Douglas-Roberts,Guard,2,79,200,35,27.6286,16.4143,3.54286,1.77143,1.17143,0.4,2,1.9,1
Tu Holloway,Guard,4,72,190,32.25,32.5039,13.907,3.24806,4.21705,1.24031,0.0852713,2.5969,1.97674,0
DeJuan Wright,Guard,2,76,185,25.5,32.8039,15.4706,7.21569,1.4902,1.56863,0.529412,2.72549,2.94118,0
Devoe Joseph,Guard,3,76,180,30.6667,25.6196,10.3587,2.77174,2.58696,1,0.0978261,1.82609,1.23913,0
Janari Joesaar,Forward,2,78,208,21.5,25.6744,12.814,5.2093,1.76744,1,0.418605,2.06977,2.09302,0
Robert Mitchell,Forward,3,78,180,28,27.631,12.9524,5.59524,1.28571,0.821429,0.785714,1.67857,2.57143,0
Eric McClellan,Guard,3,76,196,28,21.5238,8.03571,2.46429,1.80952,0.642857,0.178571,1.88095,1.60714,0
DeAndre Harris,Guard,3,75,200,15.6667,19.0213,10.4468,2.61702,1.3617,0.957447,0.12766,2.23404,2.55319,0
Scottie Reynolds,Guard,4,74,190,33.25,31.406,16.1278,2.8797,3.44361,1.4812,0.0977444,2.87218,2.27068,0
Desmond Holloway,Guard,1,75,167,26,32,18.5385,6.88462,1.73077,1.30769,0.346154,2.42308,2.19231,0
Terrence Jones,Forward,2,80,244,38,29.9868,14,8,1.46053,1.21053,1.81579,1.81579,2.39474,1
Tim Ambrose,Guard,4,72,220,30,25.0167,12.7333,4.625,2.53333,1.03333,0.116667,2.7,2.69167,0
Mark Payne,Guard,4,80,215,25.75,33.7087,12.7961,4.99029,3.97087,1.50485,0.330097,2.36893,1.52427,0
Jerime Anderson,Guard,4,74,183,31.75,21.4567,5.48031,1.82677,2.85827,0.968504,0.204724,1.58268,1.51181,0
Cameron Black,Forward,4,82,258,31.75,21.1496,4.64567,4.90551,0.677165,0.582677,1.2126,0.929134,2.28346,0
Derek Raivio,Guard,1,75,168,15.5,36.5806,18.3226,3.12903,2.67742,1.51613,0.0322581,1.83871,1.70968,0
Andrew Gonzalez,Forward,2,78,180,31,35.4355,20.8387,5.64516,1.70968,1.20968,0.322581,3.45161,2.24194,0
Joseph Uchebo,Center,3,82,261,21,17.0635,7.44444,6.77778,0.539683,0.571429,0.380952,0.809524,1.28571,0
Quinten Rollins,Guard,4,72,179,29,29.6466,6.32759,3.07759,3.35345,1.83621,0.112069,2.22414,2.64655,0
Anthony Hickey,Guard,4,71,185,32,31.0703,9.52344,3.50781,3.66406,2.1875,0.15625,1.625,2.4375,0
Dallas Lauderdale,Forward,4,80,255,33.75,17.5333,4.16296,3.5037,0.185185,0.318519,1.52593,0.837037,1.85185,0
Ian Clark,Guard,4,75,175,33.25,28.7143,14.4361,2.85714,2.17293,1.21805,0.203008,2.08271,2.12782,0
Emanuel Chapman,Guard,4,73,160,30.5,25.8852,4.36885,2.82787,5.03279,1.41803,0.278689,2.2623,1.52459,0
Drew Housman,Guard,2,72,185,25.5,27.6471,10.0784,2.68627,2.7451,1.21569,0,2.39216,1.37255,0
Manny Quezada,Guard,3,74,185,25,28.16,12.3467,3.13333,3.33333,1.10667,0.0666667,3.22667,2.01333,0
Brian Mason,Guard,1,75,190,28,30.8929,13.6071,6.10714,1.60714,1.21429,0.464286,3.46429,3.17857,0
Stuart Creason,Center,2,84,250,22,27.0682,10.8182,5.29545,1,0.318182,2.02273,1.90909,3.15909,0
Byron Eaton,Guard,3,71,210,30.6667,29.1196,11.3261,3.17391,4.26087,1.80435,0.217391,2.78261,3.21739,0
Kalin Lucas,Guard,4,73,195,34.25,30.438,14.3358,1.9562,3.9489,1.0219,0.080292,2.30657,1.62774,0
Zamal Nixon,Guard,4,73,170,29.25,19.7778,6.97436,1.41026,2.37607,1.09402,0.136752,1.49573,1.76923,0
Chris Warren,Guard,4,70,168,27,33.4259,17.6296,2.05556,3.84259,1.06481,0.12037,2.48148,1.87037,0
Tony Lee,Guard,2,72,205,28.5,31.2281,14.9474,6.22807,5.29825,2.80702,0.192982,3.96491,2.38596,0
Chris Wroblewski,Guard,4,72,178,28.25,30.2832,10.3009,3.23009,4.09735,1.19469,0.0442478,2.19469,1.90265,0
Elston Turner,Guard,4,77,212,26,24.3923,10.0615,2.63077,1.59231,0.746154,0.176923,1.26154,1.13846,0
Jeffrey Short,Guard,4,76,205,25.5,26.1961,13.1176,3.13725,1.69608,0.705882,0.235294,2.09804,1.87255,0
Brandon Roberts,Guard,3,72,175,9,27,6.55556,2.25926,3.51852,1.03704,0.111111,2.81481,2,0
Elijah Muhammad,Guard,2,72,170,19.3333,26.9483,8.82759,3.7069,3.72414,1.34483,0.0517241,2.31034,2.01724,0
Trent Lockett,Guard,4,77,210,30.5,27.3689,9.68033,4.83607,1.79508,0.893443,0.368852,2.15574,2.41803,0
Isiah Martin,Forward,4,80,220,26.75,13.7477,3.92523,2.6729,0.224299,0.261682,1.20561,0.635514,1.85981,0
Dantiel Daniels,Forward,2,77,230,18.3333,23.4,7.98182,4.05455,0.509091,0.690909,1.25455,1.12727,2.8,0
Wellington Smith,Forward,4,79,245,33.25,18.2105,4.96992,3.23308,0.924812,0.533835,1.18797,0.932331,2.5188,0
Greg Hamlin,Forward,2,79,210,24,19.0625,4.33333,3.97917,0.8125,0.916667,1.33333,1.0625,2.875,0
Andre Harris,Forward,1,79,220,14,36.5357,18.75,7.57143,1.42857,1.39286,1.25,2.64286,2.82143,0
KT Harrell,Guard,3,76,212,32,29.4271,15.0521,2.98958,1.47917,0.677083,0.114583,2.07292,2.13542,0
Draymond Green,Forward,4,79,230,36,25.0833,10.5208,7.58333,2.95139,1.25,0.8125,1.92361,2.75,1
Taylor Johns,Forward,3,79,220,28.6667,29.7442,12.1163,7.06977,1.36047,0.94186,1.74419,2.65116,2.75581,0
Chase Fischer,Guard,4,75,190,26.6,25.7218,10.9323,2.09023,1.57143,0.759399,0.0601504,1.18045,1.31579,0
Richie Williams,Guard,3,69,158,28,30.381,7.16667,3.79762,3.67857,1.9881,0.0595238,2.60714,2.66667,0
Chase Grabau,Guard,2,77,180,28,31.0893,9.48214,4.875,2.64286,1.60714,0.410714,1.82143,2.78571,0
Demonte Harper,Guard,4,76,195,31.75,29.3543,10.9685,3.66142,3.01575,1.24409,0.354331,3.32283,2.62992,0
Woody Payne,Guard,4,71,165,26.5,23.434,5.51887,2.59434,2.75472,1.76415,0.150943,2,1.82075,0
Luke Harangody,Forward,4,80,246,29.25,29.5385,19.1795,9.5641,1.66667,0.692308,0.74359,1.79487,2.47863,1
Evan Turner,Forward,3,79,205,32.6667,33.1633,15.2857,6.82653,4.15306,1.60204,0.744898,3.54082,2.70408,1
Willie Powers,Guard,4,74,200,19.6,31.0306,12.6531,3.4898,4.4898,1.14286,0.122449,2.73469,2.12245,0
John Wall,Guard,1,76,195,18.5,34.8108,16.7297,4.2973,6.51351,1.78378,0.513514,4.02703,1.94595,1
Trevor Mbakwe,Forward,4,80,245,16.6,25.3855,10.6627,8.54217,1.07229,0.746988,1.3253,1.9759,2.55422,0
James Fields,Guard,4,76,182,30.25,21.8926,5.2314,2.38843,1.95868,1.14876,0.0661157,1.55372,2.21488,0
Stephen Madison,Forward,4,78,205,32.25,26.4961,12.6047,4.9845,1.85271,0.635659,0.341085,2,2.42636,0
Mike Aaman,Forward,5,80,260,21.4,19.0187,7.91589,5.70093,0.411215,0.476636,0.691589,1.21495,2.42991,0
Oliver Lafayette,Guard,1,74,180,31,35.5484,13.6774,5.90323,2.96774,2.22581,0.258065,1.93548,2.96774,0
Trent Plaisted,Center,2,83,220,32.5,28.4308,14.1538,7.04615,1.36923,0.446154,1.2,2.03077,2.83077,1
Charles Jackson,Center,1,82,225,30,27.2,12.8667,9.5,0.466667,1.1,1.33333,1.53333,3.33333,0
Jordan Brooks,Forward,1,75,195,25,29.24,12.6,6.28,4.68,1.64,0.2,4.4,3.16,0
Derek Glasser,Guard,4,73,190,25,30.648,8.104,2.112,4.256,0.936,0.04,2.056,1.392,0
Phil Pressey,Guard,3,71,175,33,29.6566,9.70707,2.9899,5.85859,1.9798,0.050505,2.71717,1.9697,0
Jordan Glynn,Forward,2,79,225,30.5,30.3934,9.96721,8.19672,1.13115,1.03279,0.147541,1.52459,2.39344,0
Domantas Sabonis,Forward,2,83,240,37,26.6622,13.5405,9.36487,1.31081,0.527027,0.581081,2.04054,2.95946,1
Brandon Giles,Guard,2,70,150,27,28.1296,6.31482,2.44444,3.46296,0.685185,0.0555556,2.90741,2.03704,0
Stefhon Hannah,Guard,2,73,175,21,29.381,15.3571,3.45238,4.90476,2.04762,0.0238095,3.2381,3,0
Reger Dowell,Guard,3,73,183,18,18.8194,10.4583,1.48611,1.34722,0.430556,0.0277778,1.54167,1.69444,0
Steve McWhorter,Guard,4,74,185,26.2,27.1756,7.10687,2.9313,2.85496,1.09924,0.267176,1.57252,2.64122,0
Colby Bargeman,Guard,2,77,195,28.5,27.5614,11.0877,4.91228,1.7193,1.92982,0.578947,1.10526,2.24561,0
Kevin Love,Center,1,82,260,34,29.7647,17.0588,10.5,1.85294,0.705882,1.55882,1.97059,1.97059,1
Tony Bishop,Forward,2,78,202,31,21.8548,10.3226,6.48387,0.806452,0.983871,0.935484,1.54839,2.54839,0
Julian Gamble,Forward,4,82,250,21.1667,14.8268,4.33071,3.55906,0.425197,0.370079,1.0315,0.80315,1.92913,0
Johnny Dee,Guard,4,72,185,32.75,31.1298,15.6107,2.78626,1.19847,0.923664,0.0229008,1.29771,1.47328,0
Matt Lopez,Center,2,84,245,12.5,17.94,7.7,5.12,0.34,0.14,0.36,1.66,2.04,0
John Ford,Guard,2,70,149,26,32.8462,11.0192,3.40385,3.26923,1.65385,0.192308,3.05769,2.30769,0
Chris Bond,Forward,4,76,195,29.5,26.3729,8.8983,5.17797,1.21186,1.23729,0.398305,1.73729,2.01695,0
Dedrick Basile,Guard,2,70,160,34,29.5294,12.3235,3.25,3.35294,1.69118,0.147059,1.94118,2.42647,0
Kendrick Ray,Guard,4,74,188,18.6,26.4409,14.2151,3.47312,2.36559,0.795699,0.204301,1.97849,2.22581,0
Andy Wicke,Guard,3,74,195,29.6667,27.7528,10.191,1.79775,3.02247,1.42697,0.0674157,2.1236,2.23596,0
Lazabian Jackson,Guard,2,75,190,30,30.6167,10.85,3.73333,2.43333,1.81667,0.133333,2,2.15,0
Karl-Anthony Towns,Forward,1,83,250,39,21.1282,10.2821,6.69231,1.12821,0.461538,2.20513,1.35897,2.94872,1
Deandre Mathieu,Guard,3,69,165,25,24.53,8.23,2.24,3.46,1.48,0.04,1.94,1.91,0
Arinze Onuaku,Forward,3,81,261,24.75,26.7071,11.0101,6.9697,0.676768,0.808081,1.28283,1.63636,2.73737,0
Patrick Sullivan,Center,4,81,215,27.5,24.7455,10.9182,6.57273,1.6,0.663636,2.31818,2.2,2.85455,0
Marvin Frazier,Center,4,80,220,28.5,15.2895,4.78947,3.64035,0.491228,0.517544,1.40351,0.77193,1.97368,0
Kyle Randall,Guard,4,70,169,31,29.5565,10.8145,2.53226,2.54839,0.758065,0.0241935,2.25806,1.56452,0
Chris Moore,Forward,1,80,210,13,31.4231,14.1923,10.0385,1.73077,1.11538,0.346154,2.61538,2.69231,0
Vince Hunter,Forward,2,80,200,33.5,27.1045,13.597,7.86567,1.49254,1.02985,0.880597,2.37313,3.14925,0
Mario Chalmers,Guard,2,73,190,36,29.7778,12.5417,3.05556,3.79167,2.54167,0.5,2.18056,2.51389,1
Deyonta Davis,Forward,1,82,240,35,18.5714,7.45714,5.45714,0.742857,0.257143,1.82857,0.857143,2.28571,1
Julius Brown,Guard,4,70,170,32.75,33.0534,14.0229,2.44275,5.22137,1.0458,0.175573,2.8626,1.37405,0
Jack Cooley,Forward,4,81,246,30.75,19.7967,8.26829,6.43902,0.536585,0.439024,0.943089,0.894309,2.03252,0
Matt Hunter,Guard,1,77,190,30,37.2,15.7333,7.73333,2.6,2.6,0.933333,3.4,2.6,0
D'Angelo Russell,Guard,1,77,180,35,33.9429,19.2857,5.62857,5.02857,1.57143,0.314286,2.91429,2.11429,1
Daniel Dixon,Guard,4,78,210,28.5,25.5965,11.886,3.28947,1.57018,0.614035,0.394737,1.34211,2.21053,0
Dominique Shellman,Guard,2,73,180,22.5,26.2,4.73333,1.86667,4.42222,0.733333,0.0888889,2.93333,2.15556,0
Phillip Leonard,Guard,3,74,200,33.6667,21.4455,7.62376,3.15842,3.32673,0.514852,0.019802,1.42574,2.0297,0
Wil Carter,Forward,2,80,234,32,31.1875,11.4531,8.32812,0.921875,0.40625,0.375,1.67188,3.51562,0
Brandan Wright,Forward,1,82,210,36,27.4167,14.8056,6.25,1,0.972222,1.77778,1.58333,1.47222,1
Brody Angley,Center,2,71,195,19.6667,32.4576,10.1525,3.54237,4.55932,1.42373,0.0847458,2.76271,1.71186,0
Nigel Williams-Goss,Guard,3,75,195,33.3333,34.15,15.36,5.09,4.95,1.33,0.13,2.58,1.91,1
Demarquelle Tabb,Guard,4,77,210,27.75,26.7387,10.4775,7.25225,1.08108,1.00901,1.63063,1.72973,2.97297,0
Stephen Holt,Guard,4,76,195,31.75,31.1968,10.7874,4.1811,2.40157,1.3622,0.0393701,1.44882,1.98425,0
Zaid Hearst,Guard,4,76,215,31,30.371,12.9597,5.04839,1.78226,0.580645,0.298387,1.52419,2.1371,0
Mikhail Torrance,Guard,4,77,210,20.4,20.6569,8.64706,2.17647,3.03922,0.54902,0.137255,1.69608,1.04902,0
Juan Pattillo,Forward,2,78,220,16.6667,24.46,10.98,7.1,1,1.1,1.5,2.5,2.54,0
Roosevelt Jones,Forward,4,76,225,27.8,31.813,11.0288,5.84892,3.33813,1.05755,0.482014,2.31655,2.59712,0
Luke Sikma,Forward,4,80,235,30.25,24.0496,8.35537,7.76033,1.96694,0.933884,0.68595,1.89256,2.61157,0
Joel Embiid,Center,1,84,250,28,22.3929,11.1786,8.10714,1.35714,0.892857,2.57143,2.35714,3.35714,1
Shan Foster,Guard,2,78,205,32.5,33.1846,18.0769,4.8,1.98462,1.13846,0.338462,1.73846,1.83077,1
Kyle Gibson,Guard,4,77,205,21.8,31.2477,14.7248,3.46789,2.05505,0.862385,0.146789,2.21101,2.02752,0
Reggie Chamberlain,Guard,3,72,170,23,25.5326,10.75,1.91304,1.98913,0.782609,0.0652174,1.40217,1.96739,0
Carl Jones,Guard,4,71,160,31.5,31.1746,14.6429,2.73016,2.70635,0.97619,0.0714286,2.11111,1.40476,0
Brad Tinsley,Guard,4,75,210,32.75,29.0992,9.31298,2.83969,3.65649,0.648855,0.167939,1.94656,1.29771,0
Brandon White,Guard,4,75,185,22,17.0227,3.375,2.35227,1.56818,0.534091,0.0454545,1.84091,1.26136,0
Justin Tuoyo,Forward,4,82,235,24.4,23.2541,9.37705,5.0082,0.795082,0.614754,2.31148,1.2377,2.61475,0
Michael Cobbins,Forward,5,80,230,21,25.2,5.8381,5.60952,0.542857,0.647619,1.55238,1.02857,2.52381,0
Herb Courtney,Forward,2,79,200,19.3333,34.931,15.8621,7.08621,1.22414,1.36207,1.48276,2.51724,3.08621,0
LaMarcus Reed,Forward,4,77,185,22.2,23.6577,11.045,3.57658,1.22523,0.774775,0.27027,2.10811,2.14414,0
Rene Rougeau,Guard,3,78,200,28.3333,22.0353,7.56471,4.81176,1.21176,1.35294,1.15294,1.18824,2.24706,0
Jeremy Allen,Guard,4,76,190,23,25.9565,9.23478,2.67826,1.04348,1.54783,0.113043,1.75652,2.65217,0
Brian Roberts,Guard,2,74,185,30,35.1167,17.7333,2.78333,3.01667,0.5,0.166667,2.55,1.86667,0
Jamie Jones,Forward,4,79,220,22.5,25.0556,10.8444,6.67778,0.7,0.666667,1.46667,1.55556,2.71111,0
Randall Gulina,Guard,1,74,205,14.5,33.1724,17.4828,3.41379,1.17241,0.793103,0.0344828,1.62069,1.82759,0
Jackie Carmichael,Forward,4,81,240,32.75,24.9542,12.0611,7.19084,0.671756,0.625954,1.51908,1.83969,2.51145,0
Frankie Dobbs,Guard,4,75,185,24,30.6167,10.1917,2.8,4.18333,0.875,0.0666667,2.225,1.71667,0
Ceola III Clark,Guard,5,75,195,19.8333,34.2185,12.126,3.78992,3.76471,1.94958,0.117647,1.76471,1.79832,0
Daniel Ruffin,Guard,2,70,165,28.5,33.807,13.8596,3.03509,5.40351,1.84211,0.140351,2.82456,1.96491,0
Marquis Wright,Guard,4,73,161,30.25,35.1322,12.7769,4.12397,5.07438,1.64463,0.289256,2.92562,2.4876,0
Gyno Pomare,Forward,3,79,220,29.6667,28.4382,14.3034,7.23596,0.685393,0.820225,1.32584,1.52809,2.2809,0
Mario Dunn Jr.,Guard,4,73,185,27.25,22.6697,5.83486,2.59633,2.06422,0.981651,0.293578,1.47706,2.11009,0
Noruwa Agho,Guard,4,75,220,20.75,32.4699,14.3373,4.10843,2.66265,1.21687,0.26506,2.43373,1.86747,0
Mike Morrison,Forward,4,81,237,31.5,22.1111,7.39683,5.22222,1.15873,0.5,1.38095,1.10317,2.5873,0
Roy Bright,Guard,2,78,230,27.5,35.7818,16.8364,5.07273,0.818182,0.8,0.563636,1.58182,2.18182,0
Juan'ya Green,Guard,4,74,195,26.8,37.3284,17.291,3.96269,5.76866,1.71642,0.380597,2.91791,2.09701,0
Keith Wright,Forward,4,80,240,26.25,26.7714,10.7714,6.80952,0.790476,0.580952,1.35238,2.02857,2.29524,0
Adam Kemp,Forward,4,82,235,27.25,27.9725,8.92661,7.56881,0.559633,0.559633,2.0367,1.69725,3.07339,0
Marcus King-Stockton,Forward,2,81,185,26,18.8846,3.17308,3.90385,0.519231,0.423077,1.44231,1,3.17308,0
Eric Hayes,Guard,4,76,180,30.5,29.1475,9.18033,2.63115,3.81148,0.959016,0.180328,1.90984,1.31967,0
Rakiya Battle,Guard,4,71,170,26,25.3942,5.82692,2.46154,4.50962,0.923077,0.0865385,2.28846,1.53846,0
Tyler Zeller,Forward,4,84,250,28.75,23.0609,12.8783,6.82609,0.591304,0.652174,1.11304,1.41739,2.31304,1
Andres Torres,Guard,4,70,170,20.6,26.1456,6.70874,2.19417,3.07767,1.36893,0.038835,2.39806,2.60194,0
Alvardo Parker,Forward,2,79,220,27,21.7963,6.75926,5,0.740741,0.444444,1.40741,1.2037,2.57407,0
Fab Melo,Center,2,84,274,31.5,17.3016,4.93651,3.79365,0.460317,0.396825,1.79365,1.07937,2.30159,1
Johnathan Loyd,Guard,4,68,163,36,20.8194,5.03472,1.67361,3.18056,1.05556,0.0694444,1.59028,2.09722,0
Ryne Hamblet,Guard,2,77,170,16,29.9375,11.0938,4.6875,4.125,1.5,0.71875,3.21875,2.6875,0
Tim Douglas,Guard,4,70,160,24,25.7,8.73333,2.00833,2.95,0.841667,0.025,2.275,1.79167,0
MarShon Brooks,Guard,4,77,200,27.25,25.3394,14.3945,4.29358,1.58716,1.13761,0.688073,1.87156,1.94495,1
Nimrod Hilliard,Guard,3,72,154,19.75,30.3291,10.6835,2.89873,4.77215,1.05063,0.316456,2.39241,1.91139,0
Quinton Hosley,Forward,1,78,210,28,34.1429,14.1429,8.92857,1.42857,1.25,0.642857,2.64286,2.75,0
Demetrius Johnson,Guard,2,77,170,14.6667,24.2045,7.45455,3.20455,4.84091,0.772727,0.590909,3.06818,1.88636,0
Naadir Tharpe,Guard,3,71,170,33.3333,18.66,5.21,1.38,3.04,0.55,0,1.43,1.49,0
Earl Clark,Guard,3,82,225,33.6667,26.5545,10.5049,6.93069,1.65347,0.90099,1.17822,2.12871,1.64356,1
Ron Manigault,Forward,2,76,210,27,28.1111,5.59259,7.2963,1.64815,0.685185,0.296296,1.5,3.09259,0
Dane Diliegro,Center,4,81,250,27.25,26.6422,6.90826,7.44037,0.394495,0.46789,0.238532,1.75229,3.22936,0
Kevin Hardy,Guard,4,74,180,31.25,30,9.352,5.32,3.44,1.928,0.816,1.76,2.32,0
Tyrone Hamilton,Guard,2,73,200,27,33.2778,15.9074,3.11111,2.87037,1.05556,0.0740741,3.94444,2.74074,0
Tony Hooper,Guard,4,71,175,17,29.2941,13.9412,3.21176,2.50588,1.57647,0.2,3.17647,3.08235,0
Cory Higgins,Guard,4,77,180,31.75,34.0394,15.3307,4.12598,2.44094,1.45669,0.370079,2.29134,2.29921,0
Jared Cunningham,Guard,3,76,194,32.6667,27.8878,12.9694,3,1.96939,2.22449,0.244898,2.56122,2.52041,1
Juwan Staten,Guard,4,73,190,25.8,31.3643,12.0775,3.33333,4.82946,1.08527,0.0465116,2.08527,1.56589,0
Justin Nabors,Forward,2,79,215,19,28.1404,13.1404,8.17544,1.40351,1.05263,0.526316,2.80702,2.47368,0
Rakeem Buckles,Forward,4,79,215,22.75,19.1758,7.68132,5.67033,0.714286,0.725275,0.593407,1.6044,2.58242,0
Kevin Larsen,Forward,4,82,260,34,30.8824,10.8088,6.97794,2.07353,0.632353,0.742647,1.65441,1.83088,0
Jesse Steele,Guard,4,68,180,21.5,30.8488,11.2791,1.96512,3.38372,1.31395,0,2.18605,1.77907,0
Mitchell Watt,Forward,4,82,225,31.5,19.5556,8.23016,4.37302,1.2619,0.555556,1.54762,1.7619,2.5,0
Collin Spickerman,Forward,3,80,220,19.6667,19.4407,5.11864,3.9322,0.79661,0.627119,2.11864,0.949153,2.42373,0
Vlad Moldoveanu,Forward,4,81,215,20.75,24.6867,13.0723,4.75904,1.37349,0.349398,0.433735,1.50602,2.36145,0
Donald Sloan,Guard,4,75,205,32.5,28.2462,11.1769,3.21538,2.70769,0.630769,0.0461538,1.92308,1.43077,0
Brock Young,Guard,4,71,180,28.25,27.3186,10.1858,2.83186,4.97345,1.23894,0.0176991,3.0708,1.79646,0
Cameron Ridley,Center,4,81,285,28.75,21.3739,8.2,6.27826,0.321739,0.417391,1.88696,1.55652,2.41739,0
Mario Moody,Forward,4,79,215,28.25,20,8.59292,5.74336,0.557522,0.814159,1.53982,1.46018,2.60177,0
DeAndre' Bembry,Forward,3,78,210,33.6667,36.0891,15.7426,6.65347,3.60396,1.41584,0.772277,2.45545,2.46535,0
Martez Harrison,Guard,3,71,200,31,32.4839,16.7204,3.11828,3.96774,1.5914,0.0322581,3.09677,2.73118,0
Arturas Valeika,Forward,2,81,215,28,27.9107,8.60714,8.01786,1.10714,0.696429,0.75,1.875,2.92857,0
Devonte Brown,Guard,4,74,195,26,25.4538,9,3.36923,2.15385,0.861538,0.169231,2.4,2.20769,0
Matt Sauey,Forward,4,79,195,29.75,21.5462,6.63025,3.89916,0.689076,0.655462,1.21849,1.20168,2.34454,0
Jordon Crawford,Guard,4,66,150,31.75,26.3071,9.54331,1.88189,3.71654,1.44882,0.023622,2.65354,1.67717,0
Xavier Moon,Guard,2,74,165,33.5,29.0746,12.791,3,3.08955,1.04478,0.19403,1.41791,2.16418,0
Evan Hymes,Guard,4,69,148,32.5,27.3308,10.2923,1.54615,2.77692,0.815385,0.0307692,2.62308,2.17692,0
Byron Mulkey,Guard,4,72,175,16.2,26.321,9.25926,2.90123,3.35802,1.54321,0.0123457,2.14815,1.93827,0
Joe Retic,Guard,2,75,190,25.5,22.549,5.5098,2.35294,3.47059,1.31373,0.117647,2.72549,2.35294,0
De'Mon Brooks,Forward,4,79,230,31.25,23.84,14.2,6.152,0.904,0.776,0.568,1.856,3.176,0
Lawrence Kinnard,Forward,3,80,210,29.3333,32.7386,12.6591,7.51136,1.25,1.06818,0.840909,1.69318,2.32955,0
Stevie Mejia,Guard,3,69,175,23.5,24.766,7.05319,2.20213,3.34043,1.37234,0.0319149,2.07447,2.35106,0
Dre Wills,Guard,4,73,185,28,20.4286,6.89286,3.96429,1.67857,1.20536,0.678571,1.42857,1.79464,0
Damon Heuir,Guard,4,74,200,28.75,22.513,8.1913,2.54783,2.26087,0.495652,0.121739,1.96522,1.9913,0
Patrick Sanders,Forward,2,78,198,29,31.1207,13.8276,5.13793,1.46552,0.465517,1.34483,2.55172,2.62069,0
Anthony Raffa,Guard,4,73,180,23.8,27.9664,14.2941,3.4958,1.87395,1.34454,0.0672269,2.11765,1.95798,0
Denzel Livingston,Guard,2,76,178,28,34.8036,20.9286,6.14286,3.32143,2.53571,1.35714,2.71429,2.51786,0
Zvonko Buljan,Forward,2,81,235,19.3333,28.2586,12.6207,8.43103,1.94828,0.827586,0.275862,3.22414,2.94828,0
Patrick McCaw,Guard,2,79,185,32.5,31.7077,12.2,4.2,3.29231,1.98462,0.369231,1.92308,1.87692,1
Denzel Bowles,Forward,3,82,260,21.6667,29.3692,17.0462,8.09231,2.07692,0.507692,1.38462,3.04615,2.46154,0
Bryan Mullins,Guard,3,73,185,28.3333,33.1765,8.56471,2.30588,4.38824,1.78824,0.0352941,1.96471,2.58824,0
Zalmico Harmon,Guard,2,73,185,30.5,31.2459,6.96721,1.85246,4.27869,0.606557,0.0819672,1.34426,2.19672,0
Marvin Dominique,Forward,4,79,215,22.8,25.2807,10.1754,6.33333,0.429825,0.666667,0.587719,1.38596,2.14912,0
Talib Zanna,Forward,5,81,230,27,21.6593,8.27407,5.98519,0.414815,0.451852,0.533333,1.01481,2.11111,0
Quincy Ford,Forward,5,80,225,26,31.9308,12.4385,5.7,1.88462,1.38462,0.869231,2.06923,2.23846,0
Brian Cusworth,Center,1,84,225,15,32.6667,17.6,9.4,1.33333,0.733333,2.26667,3,2.73333,0
Demetri McCamey,Guard,4,75,200,33,31.8258,12.4621,3.17424,5.37879,1.00758,0.136364,2.84091,1.92424,0
Matt Dickey,Guard,4,73,180,32.5,30.4231,13.6923,3.46154,3.3,1.44615,0.0769231,2.55385,2.56923,0
Charles Jenkins,Guard,4,75,220,30.5,35.9344,19.623,4.21311,3.87705,1.68033,0.57377,3.02459,2.45902,1
