Name,Position,Years,Height,Weight,Games,Minutes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Draft_Status
Reggie Moore,Guard,3,73,178,32,32.9062,10.6979,2.66667,4.36458,1.02083,0.0833333,2.53125,1.77083,0
Brandon Wallace,Forward,1,81,203,13.5,36.4074,10.037,9.44444,2.07407,1.33333,2.85185,1.85185,1.92593,0
Jameel McKay,Forward,2,81,215,28.5,29.0175,11.0526,8.2807,0.736842,0.614035,2,1.35088,2.26316,0
Will Kelly,Forward,4,81,242,31,21.3387,6.08065,4.45161,0.685484,0.346774,1.58065,1.37903,2.70161,0
Alec Peters,Forward,4,80,235,33.5,31.7164,17.5224,7.43284,1.52239,0.761194,0.283582,1.85075,2.11194,1
Tasheed Carr,Guard,2,76,211,27,33.9444,12.7778,4.48148,4.85185,1.33333,0.12963,2.57407,2.7037,0
Bernard Toombs,Center,4,82,235,16.4,17.061,5.14634,5.13415,0.45122,0.402439,1.0122,0.792683,1.9878,0
Jerome Frink,Forward,4,79,230,31.25,31.28,12.984,7.112,1.272,0.976,0.944,2.288,2.968,0
Tramayne Hawthorne,Guard,3,72,175,28.6667,28.5581,8.75581,2.69767,2.17442,1.40698,0.139535,1.2093,1.96512,0
Martin Seiferth,Forward,3,82,235,18.5,19.3108,6.58108,5.06757,0.22973,0.256757,1.55405,0.972973,2.08108,0
Chavis Holmes,Guard,2,76,195,27.5,29.6364,20.9818,3.8,2.52727,3.03636,0.654545,2.38182,2.87273,0
Jordan Crawford,Guard,2,76,195,20.6667,29.6613,15.5645,4.24194,2.62903,1.14516,0.209677,2.25806,1.62903,1
La'Shard Anderson,Guard,3,73,170,32,29.4375,10.5104,2.61458,3.79167,2,0.34375,2.53125,2.69792,0
JaMarku Holt,Center,2,80,240,15.6667,22.0426,8.6383,6.14894,0.404255,0.468085,0.680851,2.21277,2.19149,0
Majok Majok,Forward,2,81,245,29.5,30.4915,10.9322,9.8983,0.881356,0.474576,0.813559,2.42373,2.50847,0
