

27,JaJuan Johnson
28,Norris Cole
29,Cory Joseph
30,Jimmy Butler
31,Bojan Bogdanovic
32,Justin Harper
33,Kyle Singler
34,Shelvin Mack
35,Tyler Honeycutt
36,Jordan Williams
37,Trey Thompkins
38,Chandler Parsons
39,Jeremy Tyler
40,Jon Leuer
41,Darius Morris
42,Davis Bertans
43,Malcolm Lee
44,Charles Jenkins
45,Josh Harrellson
46,Andrew Goudelock
47,Travis Leslie
48,Keith Benson
49,Josh Selby
50,Lavoy Allen
51,Jon Diebler
52,Vernon Macklin
53,DeAndre Liggins
54,Milan Macvan
55,E'Twaun Moore
56,Chukwudiebere Maduabum
57,Targuy Ngombo
58,Ater Majok
59,Adam Hanga
60,Isaiah Thomas
1,Anthony Davis
2,Michael Kidd-Gilchrist
3,Bradley Beal
4,Dion Waiters
5,Thomas Robinson
6,Damian Lillard
7,Harrison Barnes
8,Terrence Ross
9,Andre Drummond
10,Austin Rivers
11,Meyers Leonard
12,Jeremy Lamb
13,Kendall Marshall
14,John Henson
15,Maurice Harkless
16,Royce White
17,Tyler Zeller
18,Terrence Jones
19,Andrew Nicholson
20,Evan Fournier
21,Jared Sullinger
22,Fab Melo
23,John Jenkins
24,Jared Cunningham
25,Tony Wroten
26,Miles Plumlee
27,Arnett Moultrie
28,Perry Jones
29,Marquis Teague
30,Festus Ezeli
31,Jeff Taylor
32,Tomas Satoransky
33,Bernard James
34,Jae Crowder
35,Draymond Green
36,Orlando Johnson
37,Quincy Acy
38,Quincy Miller
39,Khris Middleton
40,Will Barton
41,Tyshawn Taylor
42,Doron Lamb
43,Mike Scott
44,Kim English
45,Justin Hamilton
46,Darius Miller
47,Kevin Murphy
48,Kostas Papanikolaou
49,Kyle O'Quinn
50,Izzet Turkyilmaz
51,Kris Joseph
52,Ognjen Kuzmic
53,Furkan Aldemir
54,Tornike Shengelia
55,Darius Johnson-Odom
56,Tomislav Zubcic
57,Ilkan Karaman
58,Robbie Hummel
59,Marcus Denmon
60,Robert Sacre
1,Anthony Bennett
2,Victor Oladipo
3,Otto Porter
4,Cody Zeller
5,Alex Len
6,Nerlens Noel
7,Ben McLemore
8,Kentavious Caldwell-Pope
9,Trey Burke
10,CJ McCollum
11,Michael Carter-Williams
12,Steven Adams
13,Kelly Olynyk
14,Shabazz Muhammad
15,Giannis Antetokounmpo
16,Lucas Nogueira
17,Dennis Schroder
18,Shane Larkin
19,Sergey Karasev
20,Tony Snell
21,Gorgui Dieng
22,Mason Plumlee
23,Solomon Hill
24,Tim Hardaway
25,Reggie Bullock
26,Andre Roberson
27,Rudy Gobert
28,Livio Jean-Charles
29,Archie Goodwin
30,Nemanja Nedovic
31,Allen Crabbe
32,Alex Abrines
33,Carrick Felix
34,Isaiah Canaan
35,Glen Rice
36,Ray McCallum
37,Tony Mitchell
38,Nate Wolters
39,Jeff Withey
40,Grant Jerrett
41,Jamaal Franklin
42,Pierre Jackson
43,Ricky Ledo
44,Mike Muscala
45,Marko Todorovic
46,Erick Green
47,Raul Neto
48,Ryan Kelly
49,Erik Murphy
50,James Ennis
51,Romero Osby
52,Lorenzo Brown
53,Colton Iverson
54,Arsalan Kazemi
55,Joffrey Lauvergne
56,Peyton Siva
57,Alex Oriakhi
58,Deshaun Thomas
59,Bojan Dubljevic
60,Janis Timma
1,Andrew Wiggins
2,Jabari Parker
3,Joel Embiid
4,Aaron Gordon
5,Dante Exum
6,Marcus Smart
7,Julius Randle
8,Nik Stauskas
9,Noah Vonleh
10,Elfrid Payton
11,Doug McDermott
12,Dario Saric
13,Zach LaVine
14,T.J. Warren
15,Adreian Payne
16,Jusuf Nurkic
17,James Young
18,Tyler Ennis
19,Gary Harris
20,Bruno Caboclo
21,Mitch McGary
22,Jordan Adams
23,Rodney Hood
24,Shabazz Napier
25,Clint Capela
26,P.J. Hairston
27,Bogdan Bogdanovic
28,C.J. Wilcox
29,Josh Huestis
30,Kyle Anderson
31,Damien Inglis
32,K.J. McDaniels
33,Joe Harris
34,Cleanthony Early
35,Jarnell Stokes
36,Johnny O'Bryant III
37,DeAndre Daniels
38,Spencer Dinwiddie
39,Jerami Grant
40,Glenn Robinson III
41,Nikola Jokic
42,Nick Johnson
43,Walter Tavares
44,Markel Brown
45,Dwight Powell
46,Jordan Clarkson
47,Russ Smith
48,Lamar Patterson
49,Cameron Bairstow
50,Alec Brown
51,Thanasis Antetokounmpo
52,Vasilije Micic
53,Alessandro Gentile
54,Nemanja Dangubic
55,Semaj Christon
56,Roy Devyn Marble
